pca_res,pca,rto,census_reg,state,inter
s1,p2,rto1,PA,WA,western
s2,p1,rto1,PA,WA,western
s3,p1,rto1,PA,WA,western
s4,p1,rto1,PA,WA,western
s5,p2,rto1,PA,WA,western
s6,p3,rto1,PA,WA,western
s7,p4,rto1,PA,WA,western
s8,p3,rto1,PA,WA,western
s9,p2,rto1,PA,WA,western
s10,p5,rto1,PA,OR,western
s11,p5,rto1,PA,OR,western
s12,p5,rto1,PA,OR,western
s13,p5,rto1,PA,OR,western
s14,p6,rto1,PA,OR,western
s15,p6,rto1,PA,OR,western
s16,p5,rto1,PA,OR,western
s17,p5,rto1,PA,OR,western
s18,p7,rto1,PA,OR,western
s19,p7,rto1,PA,OR,western
s20,p9,rto4,PA,CA,western
s21,p8,rto2,PA,CA,western
s22,p9,rto4,PA,CA,western
s23,p9,rto4,PA,CA,western
s24,p9,rto4,PA,CA,western
s25,p9,rto4,PA,CA,western
s26,p9,rto4,PA,CA,western
s27,p9,rto4,PA,CA,western
s28,p10,rto4,PA,CA,western
s29,p9,rto4,PA,CA,western
s30,p10,rto4,PA,CA,western
s31,p10,rto4,PA,CA,western
s32,p11,rto4,PA,CA,western
s33,p10,rto4,PA,CA,western
s34,p12,rto2,MTN,NV,western
s35,p12,rto2,MTN,NV,western
s36,p12,rto2,MTN,NV,western
s37,p12,rto2,MTN,NV,western
s38,p12,rto2,MTN,NV,western
s39,p12,rto2,MTN,NV,western
s40,p13,rto3,MTN,NV,western
s41,p14,rto1,MTN,ID,western
s42,p15,rto1,MTN,ID,western
s43,p15,rto1,MTN,ID,western
s44,p15,rto1,MTN,ID,western
s45,p15,rto1,MTN,ID,western
s46,p16,rto1,MTN,ID,western
s47,p16,rto1,MTN,ID,western
s48,p25,rto2,MTN,UT,western
s49,p25,rto2,MTN,UT,western
s50,p26,rto2,MTN,UT,western
s51,p25,rto2,MTN,UT,western
s52,p25,rto2,MTN,UT,western
s53,p27,rto3,MTN,AZ,western
s54,p28,rto3,MTN,AZ,western
s55,p29,rto3,MTN,AZ,western
s56,p28,rto3,MTN,AZ,western
s57,p28,rto3,MTN,AZ,western
s58,p30,rto3,MTN,AZ,western
s59,p28,rto3,MTN,AZ,western
s60,p17,rto1,MTN,MT,western
s61,p17,rto1,MTN,MT,western
s62,p17,rto1,MTN,MT,western
s63,p17,rto1,MTN,MT,western
s64,p18,rto2,MTN,MT,western
s65,p18,rto2,MTN,MT,western
s66,p20,rto2,MTN,MT,western
s67,p18,rto2,MTN,MT,western
s68,p19,rto2,MTN,MT,western
s69,p20,rto2,MTN,MT,western
s70,p21,rto2,MTN,WY,western
s71,p21,rto2,MTN,WY,western
s72,p22,rto2,MTN,WY,western
s73,p23,rto5,MTN,WY,western
s74,p24,rto5,MTN,WY,western
s75,p33,rto5,MTN,CO,western
s76,p33,rto5,MTN,CO,western
s77,p34,rto5,MTN,CO,western
s78,p34,rto5,MTN,CO,western
s79,p33,rto5,MTN,CO,western
s80,p33,rto5,MTN,CO,western
s81,p33,rto5,MTN,CO,western
s82,p33,rto5,MTN,CO,western
s83,p34,rto5,MTN,CO,western
s84,p34,rto5,MTN,CO,western
s85,p33,rto5,MTN,CO,western
s86,p34,rto5,MTN,CO,western
s87,p34,rto5,MTN,CO,western
s88,p31,rto3,MTN,NM,western
s89,p31,rto3,MTN,NM,western
s90,p31,rto3,MTN,NM,western
s91,p31,rto3,MTN,NM,western
s92,p31,rto3,MTN,NM,western
s93,p31,rto3,MTN,NM,western
s94,p59,rto3,MTN,TX,western
s95,p32,rto5,MTN,SD,western
s96,p35,rto11,WNC,MT,eastern
s97,p36,rto11,WNC,ND,eastern
s98,p36,rto11,WNC,ND,eastern
s99,p37,rto11,WNC,ND,eastern
s100,p36,rto11,WNC,ND,eastern
s101,p36,rto11,WNC,ND,eastern
s102,p37,rto11,WNC,ND,eastern
s103,p37,rto11,WNC,ND,eastern
s104,p38,rto11,WNC,SD,eastern
s105,p38,rto11,WNC,SD,eastern
s106,p38,rto11,WNC,SD,eastern
s107,p38,rto11,WNC,SD,eastern
s108,p38,rto11,WNC,SD,eastern
s109,p38,rto11,WNC,SD,eastern
s110,p38,rto11,WNC,SD,eastern
s111,p38,rto11,WNC,SD,eastern
s112,p38,rto11,WNC,SD,eastern
s113,p38,rto11,WNC,SD,eastern
s114,p39,rto8,WNC,NE,eastern
s115,p39,rto8,WNC,NE,eastern
s116,p40,rto8,WNC,NE,eastern
s117,p40,rto8,WNC,NE,eastern
s118,p40,rto8,WNC,NE,eastern
s119,p41,rto8,WNC,NE,eastern
s120,p42,rto11,WNC,MN,eastern
s121,p43,rto11,WNC,MN,eastern
s122,p44,rto11,WNC,MN,eastern
s123,p44,rto11,WNC,MN,eastern
s124,p43,rto11,WNC,MN,eastern
s125,p43,rto11,WNC,MN,eastern
s126,p43,rto11,WNC,MN,eastern
s127,p43,rto11,WNC,MN,eastern
s128,p43,rto11,WNC,MN,eastern
s129,p46,rto11,ENC,WI,eastern
s130,p46,rto11,ENC,WI,eastern
s131,p46,rto11,ENC,WI,eastern
s132,p45,rto6,WNC,IA,eastern
s133,p69,rto6,WNC,IA,eastern
s134,p45,rto6,WNC,IA,eastern
s135,p52,rto8,WNC,KS,eastern
s136,p53,rto8,WNC,KS,eastern
s137,p53,rto8,WNC,KS,eastern
s138,p53,rto8,WNC,KS,eastern
s139,p53,rto8,WNC,KS,eastern
s140,p53,rto8,WNC,KS,eastern
s141,p53,rto8,WNC,KS,eastern
s142,p53,rto8,WNC,KS,eastern
s143,p53,rto8,WNC,KS,eastern
s144,p54,rto8,WNC,MO,eastern
s145,p54,rto8,WNC,MO,eastern
s146,p55,rto8,WNC,MO,eastern
s147,p55,rto8,WNC,MO,eastern
s148,p47,rto8,WSC,NM,eastern
s149,p48,rto8,WSC,TX,eastern
s150,p48,rto8,WSC,TX,eastern
s151,p57,rto8,WSC,TX,eastern
s152,p49,rto8,WSC,OK,eastern
s153,p50,rto8,WSC,OK,eastern
s154,p50,rto8,WSC,OK,eastern
s155,p50,rto8,WSC,OK,eastern
s156,p50,rto8,WSC,OK,eastern
s157,p51,rto8,WSC,OK,eastern
s158,p50,rto8,WSC,OK,eastern
s159,p56,rto8,WSC,AR,eastern
s160,p56,rto8,WSC,AR,eastern
s161,p58,rto13,WSC,LA,eastern
s162,p58,rto13,WSC,LA,eastern
s163,p61,rto10,WSC,TX,texas
s164,p62,rto10,WSC,TX,texas
s165,p60,rto10,WSC,TX,texas
s166,p61,rto10,WSC,TX,texas
s167,p63,rto10,WSC,TX,texas
s168,p63,rto10,WSC,TX,texas
s169,p63,rto10,WSC,TX,texas
s170,p63,rto10,WSC,TX,texas
s171,p64,rto10,WSC,TX,texas
s172,p65,rto10,WSC,TX,texas
s173,p65,rto10,WSC,TX,texas
s174,p65,rto10,WSC,TX,texas
s175,p67,rto10,WSC,TX,texas
s176,p68,rto11,WNC,MN,eastern
s177,p69,rto6,WNC,IA,eastern
s178,p70,rto6,WNC,IA,eastern
s179,p70,rto6,WNC,IA,eastern
s180,p70,rto6,WNC,IA,eastern
s181,p70,rto6,WNC,IA,eastern
s182,p70,rto6,WNC,IA,eastern
s183,p70,rto6,WNC,IA,eastern
s184,p71,rto6,WNC,MO,eastern
s185,p72,rto6,WNC,MO,eastern
s186,p73,rto13,WNC,MO,eastern
s187,p84,rto13,WNC,MO,eastern
s188,p84,rto13,WNC,MO,eastern
s189,p72,rto6,WNC,MO,eastern
s190,p72,rto6,WNC,MO,eastern
s191,p74,rto6,ENC,MI,eastern
s192,p75,rto6,ENC,WI,eastern
s193,p76,rto6,ENC,WI,eastern
s194,p77,rto11,ENC,WI,eastern
s195,p78,rto6,ENC,WI,eastern
s196,p76,rto6,ENC,WI,eastern
s197,p75,rto6,ENC,WI,eastern
s198,p79,rto6,ENC,WI,eastern
s199,p80,rto7,ENC,IL,eastern
s200,p81,rto6,ENC,IL,eastern
s201,p81,rto6,ENC,IL,eastern
s202,p81,rto6,ENC,IL,eastern
s203,p82,rto6,ENC,IL,eastern
s204,p81,rto6,ENC,IL,eastern
s205,p81,rto6,ENC,IL,eastern
s206,p80,rto7,ENC,IL,eastern
s207,p80,rto7,ENC,IL,eastern
s208,p83,rto6,ENC,IL,eastern
s209,p83,rto6,ENC,IL,eastern
s210,p83,rto6,ENC,IL,eastern
s211,p103,rto6,ENC,MI,eastern
s212,p103,rto6,ENC,MI,eastern
s213,p104,rto7,ENC,MI,eastern
s214,p103,rto6,ENC,MI,eastern
s215,p103,rto6,ENC,MI,eastern
s216,p103,rto6,ENC,MI,eastern
s217,p103,rto6,ENC,MI,eastern
s218,p103,rto6,ENC,MI,eastern
s219,p105,rto6,ENC,IN,eastern
s220,p105,rto6,ENC,IN,eastern
s221,p105,rto6,ENC,IN,eastern
s222,p105,rto6,ENC,IN,eastern
s223,p106,rto6,ENC,IN,eastern
s224,p107,rto6,ENC,IN,eastern
s225,p105,rto6,ENC,IN,eastern
s226,p105,rto6,ENC,IN,eastern
s227,p111,rto7,ENC,OH,eastern
s228,p112,rto7,ENC,OH,eastern
s229,p112,rto7,ENC,OH,eastern
s230,p113,rto7,ENC,OH,eastern
s231,p114,rto7,ENC,OH,eastern
s232,p112,rto7,ENC,OH,eastern
s233,p112,rto7,ENC,OH,eastern
s234,p111,rto7,ENC,OH,eastern
s235,p112,rto7,ENC,OH,eastern
s236,p108,rto6,ESC,KY,eastern
s237,p109,rto7,ESC,KY,eastern
s238,p109,rto7,ESC,KY,eastern
s239,p109,rto7,ESC,KY,eastern
s240,p109,rto7,ESC,KY,eastern
s241,p109,rto7,ESC,KY,eastern
s242,p110,rto7,ESC,KY,eastern
s243,p118,rto7,SA,VA,eastern
s244,p118,rto7,SA,VA,eastern
s245,p118,rto7,SA,VA,eastern
s246,p117,rto7,SA,WV,eastern
s247,p117,rto7,SA,WV,eastern
s248,p117,rto7,SA,WV,eastern
s249,p116,rto7,SA,WV,eastern
s250,p116,rto7,SA,WV,eastern
s251,p115,rto7,MA,PA,eastern
s252,p115,rto7,MA,PA,eastern
s253,p121,rto7,SA,MD,eastern
s254,p120,rto7,MA,PA,eastern
s255,p119,rto12,MA,PA,eastern
s256,p66,rto13,WSC,TX,eastern
s257,p85,rto13,WSC,AR,eastern
s258,p85,rto13,WSC,AR,eastern
s259,p85,rto13,WSC,AR,eastern
s260,p86,rto13,WSC,LA,eastern
s261,p58,rto13,WSC,LA,eastern
s262,p87,rto13,ESC,MS,eastern
s263,p88,rto14,ESC,MS,eastern
s264,p87,rto13,ESC,MS,eastern
s265,p89,rto14,ESC,AL,eastern
s266,p89,rto14,ESC,AL,eastern
s267,p90,rto9,ESC,AL,eastern
s268,p90,rto9,ESC,AL,eastern
s269,p91,rto9,SA,FL,eastern
s270,p91,rto9,SA,FL,eastern
s271,p91,rto9,SA,FL,eastern
s272,p94,rto9,SA,GA,eastern
s273,p94,rto9,SA,GA,eastern
s274,p94,rto9,SA,GA,eastern
s275,p94,rto9,SA,GA,eastern
s276,p92,rto14,ESC,TN,eastern
s277,p92,rto14,ESC,TN,eastern
s278,p92,rto14,ESC,TN,eastern
s279,p92,rto14,ESC,TN,eastern
s280,p92,rto14,ESC,TN,eastern
s281,p92,rto14,ESC,TN,eastern
s282,p92,rto14,ESC,TN,eastern
s283,p92,rto14,ESC,TN,eastern
s284,p92,rto14,ESC,TN,eastern
s285,p92,rto14,ESC,TN,eastern
s286,p93,rto14,ESC,KY,eastern
s287,p93,rto14,ESC,KY,eastern
s288,p97,rto15,SA,NC,eastern
s289,p97,rto15,SA,NC,eastern
s290,p97,rto15,SA,NC,eastern
s291,p98,rto15,SA,NC,eastern
s292,p98,rto15,SA,NC,eastern
s293,p98,rto15,SA,NC,eastern
s294,p98,rto15,SA,NC,eastern
s295,p95,rto15,SA,SC,eastern
s296,p96,rto15,SA,SC,eastern
s297,p96,rto15,SA,SC,eastern
s298,p96,rto15,SA,SC,eastern
s299,p96,rto15,SA,SC,eastern
s300,p99,rto7,SA,VA,eastern
s301,p100,rto7,SA,VA,eastern
s302,p99,rto7,SA,VA,eastern
s303,p99,rto7,SA,VA,eastern
s304,p99,rto7,SA,VA,eastern
s305,p99,rto7,SA,VA,eastern
s306,p99,rto7,SA,VA,eastern
s307,p99,rto7,SA,VA,eastern
s308,p116,rto7,SA,WV,eastern
s309,p101,rto16,SA,FL,eastern
s310,p101,rto16,SA,FL,eastern
s311,p101,rto16,SA,FL,eastern
s312,p101,rto16,SA,FL,eastern
s313,p102,rto16,SA,FL,eastern
s314,p124,rto12,SA,VA,eastern
s315,p123,rto12,SA,MD,eastern
s316,p123,rto12,SA,MD,eastern
s317,p123,rto12,SA,MD,eastern
s318,p125,rto12,SA,DE,eastern
s319,p125,rto12,SA,DE,eastern
s320,p122,rto12,MA,PA,eastern
s321,p122,rto12,MA,PA,eastern
s322,p122,rto12,MA,PA,eastern
s323,p122,rto12,MA,PA,eastern
s324,p122,rto12,MA,PA,eastern
s325,p122,rto12,MA,PA,eastern
s326,p122,rto12,MA,PA,eastern
s327,p122,rto12,MA,PA,eastern
s328,p126,rto12,MA,NJ,eastern
s329,p126,rto12,MA,NJ,eastern
s330,p126,rto12,MA,NJ,eastern
s331,p126,rto12,MA,NJ,eastern
s332,p126,rto12,MA,NJ,eastern
s333,p127,rto17,MA,NY,eastern
s334,p127,rto17,MA,NY,eastern
s335,p127,rto17,MA,NY,eastern
s336,p127,rto17,MA,NY,eastern
s337,p127,rto17,MA,NY,eastern
s338,p127,rto17,MA,NY,eastern
s339,p127,rto17,MA,NY,eastern
s340,p127,rto17,MA,NY,eastern
s341,p127,rto17,MA,NY,eastern
s342,p128,rto17,MA,NY,eastern
s343,p132,rto18,NE,CT,eastern
s344,p132,rto18,NE,CT,eastern
s345,p133,rto18,NE,RI,eastern
s346,p133,rto18,NE,RI,eastern
s347,p131,rto18,NE,MA,eastern
s348,p131,rto18,NE,MA,eastern
s349,p131,rto18,NE,MA,eastern
s350,p129,rto18,NE,VT,eastern
s351,p129,rto18,NE,VT,eastern
s352,p129,rto18,NE,VT,eastern
s353,p130,rto18,NE,NH,eastern
s354,p130,rto18,NE,NH,eastern
s355,p134,rto18,NE,ME,eastern
s356,p134,rto18,NE,ME,eastern